id,title,cta,type,school_year,month,day,moment,triggers,secondary_cta_1,secondary_cta_2,marketo_id,open_rate,click_rate,platform,time,audience,recipient,campaign,theme,preference,college,campus,event_state,personas
openday-bundoora-confirmation,You're registered: Open Day (Bundoora),Add to calendar,email,12,Jul,26,openday-y12,open-day-bundoora-campus,Getting here and parking,,,,,cvent,,Registered attendees,,Open Day,,,,bundoora,registered,domsl
openday-bundoora-reminder-email,Open Day (Bundoora) is in 2 days,Getting here and parking,email,12,Jul,31,openday-y12,open-day-bundoora-campus,See the program,,,,,cvent,,Registered attendees,,Open Day,,,,bundoora,registered,domsl
openday-bundoora-reminder-sms,Reminder: Open Day (Bundoora) today,,sms,12,Aug,2,openday-y12,open-day-bundoora-campus,,,,,,clicksend,8:00 AM,Registered attendees,,Open Day,,,,bundoora,registered,domsl
openday-bundoora-survey,How was Open Day (Bundoora)? 2-min survey,Take the 2-minute survey,email,12,Aug,3,openday-y12,open-day-bundoora-campus,Explore your next steps,,,,,cvent,,Event attendees,,Open Day,,,,bundoora,attended,domsl
openday-city-confirmation,You're registered: Open Day (City),Add to calendar,email,12,Aug,2,openday-y12,open-day-city,Getting here and parking,,,,,cvent,,Registered attendees,,Open Day,,,,city,registered,domsl
openday-city-reminder-email,Open Day (City) is in 2 days,Getting here and parking,email,12,Aug,7,openday-y12,open-day-city,See the program,,,,,cvent,,Registered attendees,,Open Day,,,,city,registered,domsl
openday-city-reminder-sms,Reminder: Open Day (City) today,,sms,12,Aug,9,openday-y12,open-day-city,,,,,,clicksend,8:00 AM,Registered attendees,,Open Day,,,,city,registered,domsl
openday-city-survey,How was Open Day (City)? 2-min survey,Take the 2-minute survey,email,12,Aug,10,openday-y12,open-day-city,Explore your next steps,,,,,cvent,,Event attendees,,Open Day,,,,city,attended,domsl
openday-brunswick-confirmation,You're registered: Open Day (Brunswick),Add to calendar,email,12,Aug,2,openday-y12,open-day-brunswick,Getting here and parking,,,,,cvent,,Registered attendees,,Open Day,,,,brunswick,registered,domsl
openday-brunswick-reminder-email,Open Day (Brunswick) is in 2 days,Getting here and parking,email,12,Aug,7,openday-y12,open-day-brunswick,See the program,,,,,cvent,,Registered attendees,,Open Day,,,,brunswick,registered,domsl
openday-brunswick-reminder-sms,Reminder: Open Day (Brunswick) today,,sms,12,Aug,9,openday-y12,open-day-brunswick,,,,,,clicksend,8:00 AM,Registered attendees,,Open Day,,,,brunswick,registered,domsl
openday-brunswick-survey,How was Open Day (Brunswick)? 2-min survey,Take the 2-minute survey,email,12,Aug,10,openday-y12,open-day-brunswick,Explore your next steps,,,,,cvent,,Event attendees,,Open Day,,,,brunswick,attended,domsl
