id,title,primary_cta,type,school_year,month,day,moment,triggers,secondary_cta,tertiary_cta,marketo_id,open_rate,click_rate,platform,time,audience,recipient,campaign,theme,preference,college,campus,event_state,cvp,variants,variant_basis,new_2026,utm,personas
,Why choose RMIT?,"Hard sell — KSPs, tailored by IA or campus",email,12,Sep,17,vtac-close,,,,,,,marketo,,Y12,,VTAC,"Hard sell — KSPs, tailored by IA or campus",,,,,,,,,,domsl
,There's still time to <Preference RMIT>,VTAC final push,email,12,Sep,24,vtac-close,,,,,,,marketo,,Year 12,,VTAC,VTAC final push,,,,,,,,,,domsl
,There's still time to <Preference RMIT>,VTAC final push — SNAP variation,email,12,Sep,26,vtac-close,,,,,,,marketo,,Year 12 - SNAP variation,,VTAC,VTAC final push — SNAP variation,,,,,,,,,,domsl
,Good luck on your exams!,Adds Study@RMIT contact details,email,12,Oct,20,vce-exams,,,,,,,marketo,,Year 12 (exc. DDINTON),,VTAC,Adds Study@RMIT contact details,,,,,,,,,,domsl
,Good luck on your exams!,Mental health tips,email,11,Oct,20,,,,,,,,marketo,,Year 11,,VTAC,Mental health tips,,,,,,,,,,domsl
,Good luck on your exams!,Mental health tips,email,10,Oct,20,,,,,,,,marketo,,Year 10,,VTAC,Mental health tips,,,,,,,,,,domsl
,COP Explained,Key dates COP,email,12,Nov,19,cop,,,,,,,marketo,,Year 12 (exc. DDINTON & SNAP),,COP,Key dates COP,,,,,Know exactly how COP works before results land,2,segmentation,,no,domsl
,COP Explained,Key dates COP,email,12,Nov,19,cop,,scholarship,SNAP Explained,,,,marketo,,Year 12 SNAP (exc. DDINTON),,COP,Key dates COP + scholarship + SNAP Explained,,,,,Know exactly how COP works before results land,2,segmentation,,no,domsl
,What's next for you after year 10 or 11,,email,10,Nov,19,,,,,,,,marketo,,Year 10,,COP,,,,,,,,,,,domsl
,Skills you can take from school to uni,The milestone of moving to Year 12,email,11,Nov,19,,,,,,,,marketo,,Year 11,,COP,The milestone of moving to Year 12,,,,,,,,,,domsl
,Thanks for preferencing RMIT,,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 #1 preference,,COP,,#1,,,,You're first with us — here's what happens next,1,segmentation,,yes,domsl
,Explore a future with RMIT,It's not too late to make a course your #1,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 - COBL #2-8,,COP,It's not too late to make a course your #1,#2-8,COBL,,,Make RMIT your #1 — pathways if you miss your ATAR,4,personalisation,yes,yes,domsl
,Explore a future with RMIT,It's not too late to make a course your #1,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 - STEM #2-8,,COP,It's not too late to make a course your #1,#2-8,STEM,,,Make RMIT your #1 — pathways if you miss your ATAR,4,personalisation,yes,yes,domsl
,Explore a future with RMIT,It's not too late to make a course your #1,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 - DSC #2-8,,COP,It's not too late to make a course your #1,#2-8,DSC,,,Make RMIT your #1 — pathways if you miss your ATAR,4,personalisation,yes,yes,domsl
,Explore a future with RMIT,It's not too late to make a course your #1,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 - No preference,,COP,It's not too late to make a course your #1,none,,,,Make RMIT your #1 — pathways if you miss your ATAR,4,personalisation,yes,yes,domsl
,VTAC results are released today,COP hotline until 12pm 13 Dec,email,12,Dec,10,results,,guaranteed Pathways if the ATAR fell short,,,,,marketo,,Year 12,,COP,COP hotline until 12pm 13 Dec + guaranteed Pathways if the ATAR fell short,,,,,Results are out — we're open for questions today,1,,,no,domsl
,Change of preference closes today,COP closes 12pm — we're still open for questions,email,12,Dec,12,cop,,,,,,,marketo,,Year 12,,COP,COP closes 12pm — we're still open for questions,,,,,,1,,,yes,domsl
,Explore a future with RMIT,VTAC offers released today,email,12,Dec,23,offers,,upcoming rounds,ATAR calculator + pathways,,,,marketo,,Year 12,,COP - TBC,VTAC offers released today + upcoming rounds + ATAR calculator + pathways,,,,,,,,,,domsl
,Preference RMIT first — guaranteed pathway,See your pathway options,email,12,Nov,24,cop,,,,,,,marketo,,Year 12 - #2-8 preference,,COP,,#2-8,,,,A guaranteed pathway if your ATAR falls short,3,personalisation,yes,yes,domsl
