id,team,title,cta,type,school_year,month,day,moment,triggers,secondary_cta_1,secondary_cta_2,marketo_id,open_rate,click_rate,platform,time,audience,recipient,campaign,theme,preference,college,campus,event_state
,Marketing,Only at RMIT Open Day,,email,12,Jul,2,openday-y12,,,,,,,marketo,,Yr 10-12 - unregistered,student,Open Day,Why you won't want to miss RMIT Open Day 2026. It's our biggest event of the year and it's your chance to see what studying your favourite course is like,,,,unregistered
,Marketing,T&T — T&T SMS to registered,,sms,12,Jul,5,,,,,,,,clicksend,,T&T SMS to registered,student,T&T,Confirm y/n attendance for T&T,,,,registered
,Marketing,T&T — [Placeholder] Waitlist,,email,12,Jul,6,,,,,,,,marketo,,[Placeholder] Waitlist,student,T&T,Spots have opened up!,,,,
,Marketing,T&T — SMS Final reminder,,sms,12,Jul,8,,,,,,,,clicksend,,SMS Final reminder,student,T&T,Can't wait to see you today!,,,,
,Marketing,T&T — Attended,,email,12,Jul,10,,,,,,,,marketo,,Attended,student,T&T,Post event survey - Thanks for coming,,,,attended
,Marketing,T&T — Did not attend,,email,12,Jul,10,,,,,,,,marketo,,Did not attend,student,T&T,Post event survey - Sorry we missed you!,,,,did-not-attend
,Marketing,Open Day — Registered - Interest Areas,,email,12,Jul,15,openday-y12,,,,,,,marketo,,Registered - Interest Areas,student,Open Day,"The Open Day guide is live, download the full guide or the study are you're interested in",,,,registered
,Marketing,Open Day — Operational Interest Areas,,email,12,Jul,15,openday-y12,,,,,,,marketo,,Operational Interest Areas,student,Open Day,"The Open Day guide is live, download the full guide or the study are you're interested in",,,,
,Marketing,What to know about Open Day,,email,12,Jul,24,openday-y12,,,,,,,marketo,,"Registered
(Campus Specific) SL + NSL",student,Open Day,"Where to get food, prayer space, sensory space, Free shuttle bus between brunswick and city. Where to park",,,,registered
,Marketing,What to know about Open Day,,email,12,Jul,24,openday-y12,,,,,,,marketo,,"Unregistered (All campus, excluding Bundoora leads) SL + NSL",student,Open Day,"Where to get food, prayer space, sensory space, Free shuttle bus between brunswick and city. Where to park + Open Day is for everyone, whether you're a parent, in your career, a high schooler, looking to change industries",,,bundoora,unregistered
,Marketing,What to know about Open Day - Bundoora push,,email,12,Jul,24,openday-y12,,,,,,,marketo,,"Unregistered (IA Education, trades and health) SL + NSL",student,Open Day,"Where to get food, prayer space, sensory space, Free shuttle bus between brunswick and city. Where to park",,,,unregistered
,Marketing,"Open Day
(registered) — Bundoora registrants",,email,12,Jul,31,openday-y12,,,,701Od00000jrJU3IAM,,,marketo,,Bundoora registrants,student,"Open Day
(registered)",Last reminder for Open Day Bundoora,,,bundoora,registered
,Marketing,"Open Day
(unregistered) — Health and Education, Biomedical Science and Building",,email,12,Jul,31,openday-y12,,,,,,,marketo,,"Health and Education, Biomedical Science and Building",student,"Open Day
(unregistered)",Last reminder for Open Day Bundoora,,,,
,Marketing,Open Day — SMS reminder - registered,,sms,12,Aug,2,openday-y12,,,,,,,clicksend,,SMS reminder - registered,student,Open Day,Reminder: Today is Bundoora Open Day!,,,,registered
,Marketing,Open Day — City registrants,,email,12,Aug,7,openday-y12,,,,701Od00000jr7eFIAQ,,,marketo,,City registrants,student,Open Day,Last reminder for Open Day City,,,city,registered
,Marketing,Open Day — Brunswick registrants,,email,12,Aug,7,openday-y12,,,,701Od00000jrBmmIAE,,,marketo,,Brunswick registrants,student,Open Day,Last reminder for Open Brunswick,,,brunswick,registered
,Marketing,Open Day — Un-registered all,,email,12,Aug,7,openday-y12,,,,,,,marketo,,Un-registered all,student,Open Day,Last reminder for Open Day City & Brunswick,,,,registered
,Marketing,Open Day — SMS reminder,,sms,12,Aug,9,openday-y12,,,,,,,clicksend,,SMS reminder,student,Open Day,Reminder: Today is the City and Brunswick Open Day!,,,,
,Marketing,Open Day — Bundoora / Brunswick,,email,12,Aug,10,openday-y12,,,,,,,marketo,,Bundoora / Brunswick,student,Open Day,Post event survey,,,bundoora,
,Marketing,Open Day — City,,email,12,Aug,10,openday-y12,,,,,,,marketo,,City,student,Open Day,Post event survey,,,city,
,Marketing,"Open Day — All campuses
(who attended but have not done the survey)",,email,12,Aug,17,openday-y12,,,,,,,marketo,,"All campuses
(who attended but have not done the survey)",student,Open Day,Post event survey (reminder),,,,attended
,Marketing,VTAC,,email,12,Aug,25,vtac-close,,,,,,,marketo,,,student,VTAC,What's next after Open Day,,,,
,Marketing,We're here to help <Preference RMIT>,,email,12,Sep,3,vtac-close,,,,,,,marketo,,Year 12,student,VTAC,VTAC services and event + 'here to help',,,,
,Marketing,Become an RMIT Student for a Day,,email,10,Sep,3,,,,,,,,marketo,,Year 10 &11 & Parents,both,S4AD,,,,,
,Marketing,Become an RMIT Student for a Day,,email,11,Sep,3,,,,,,,,marketo,,Year 10 &11 & Parents,both,S4AD,,,,,
,Marketing,Why choose RMIT?,,email,12,Sep,10,vtac-close,,,,,,,marketo,,Y12 & parents of Y12,both,VTAC,,,,,
,Marketing,Become an RMIT Student for a Day (resend),,email,10,Sep,22,,,,,,,,marketo,,Year 10 &11 & Parents,both,S4AD,,,,,
,Marketing,Become an RMIT Student for a Day (resend),,email,11,Sep,22,,,,,,,,marketo,,Year 10 &11 & Parents,both,S4AD,,,,,
,Marketing,There's still time to <Preference RMIT>,,email,12,Sep,25,vtac-close,,,,,,,marketo,,Year 12 & Parents of Y12,both,VTAC,VTAC final push,,,,
,Marketing,There's still time to <Preference RMIT>,,email,12,Sep,25,vtac-close,,,,,,,marketo,,DDINTON,student,VTAC,VTAC final push + scholarship promotion,,,,
,Marketing,Good luck on your exams!,,email,12,Oct,20,vtac-close,,,,,,,marketo,,Year 12 (exc. DDINTON),student,VTAC,,,,,
,Marketing,Good luck on your exams!,,email,10,Oct,20,vtac-close,,,,,,,marketo,,Year 10 & 11,student,VTAC,,,,,
,Marketing,Good luck on your exams!,,email,11,Oct,20,vtac-close,,,,,,,marketo,,Year 10 & 11,student,VTAC,,,,,
,Marketing,Good luck on your exams!,,email,12,Oct,20,vtac-close,,,,,,,marketo,,Year 12 DDINTON,student,VTAC,,,,,
,Marketing,COP Explained,,email,12,Nov,19,cop,,,,,,,marketo,,Year 12 (exc. DDINTON & SNAP),student,COP,,,,,
,Marketing,COP Explained,,email,12,Nov,19,cop,,,,,,,marketo,,Year 12 DDINTON (exc. SNAP),student,COP,,,,,
,Marketing,COP Explained,,email,12,Nov,19,cop,,,,,,,marketo,,Year 12 SNAP (exc. DDINTON),student,COP,,,,,
,Marketing,What's next for you after year 10 or 11,,email,10,Nov,19,cop,,,,,,,marketo,,Year 10,student,COP,,,,,
,Marketing,Skills you can take from school to uni,,email,11,Nov,19,cop,,,,,,,marketo,,Year 11,student,COP,,,,,
,Marketing,Thanks for preferencing RMIT,,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 #1 preference,student,COP,,#1,,,
,Marketing,Explore a future with RMIT,,email,12,Nov,30,cop,,,,,,,marketo,,Year 12  - COBL  #2-8,student,COP,It's not too late to make the most of your preferences and make an course as your #1,#2-8,COBL,,
,Marketing,Explore a future with RMIT,,email,12,Nov,30,cop,,,,,,,marketo,,Year 12  - STEM  #2-8,student,COP,It's not too late to make the most of your preferences and make an course as your #1,#2-8,STEM,,
,Marketing,Explore a future with RMIT,,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 - DSC #2-8,student,COP,It's not too late to make the most of your preferences and make an course as your #1,#2-8,DSC,,
,Marketing,Explore a future with RMIT,,email,12,Nov,30,cop,,,,,,,marketo,,Year 12 - No preference,student,COP,It's not too late to make the most of your preferences and make an course as your #1,none,,,
,Marketing,VTAC results are released today,,email,12,Dec,10,cop,,,,,,,marketo,,Year 12,student,COP,We'll be on the phone from today until 12pm on 13 December to help you secure your preferences. Call the COP hotline on 9925 2260. We're with you!,,,,
,Marketing,Change of preference closes today,,email,12,Dec,12,cop,,,,,,,marketo,,Year 12,student,COP,COP closes today at 12pm. We're still open today if you've got questions,,,,
,Marketing,Explore a future with RMIT,,email,12,Dec,23,cop,,,,,,,marketo,,Year 12,student,COP - TBC,VTAC Offers are released today! Good Luck! + Upcoming rounds,,,,
,Recruitment,Tech and Trades,Attend Tech and Trades,Event,10,Jul,8,,,,,,,,,,,,,,,,,
openday-bundoora-y12,Recruitment,Open Day – Bundoora Campus,Attend Open Day,Event,12,Aug,2,openday-y12,,,,,,,,10am – 4pm,,,,,,,,
openday-city-y12,Recruitment,Open Day – City,Attend Open Day,Event,12,Aug,9,openday-y12,,,,,,,,10am – 4pm,,,,,,,,
openday-brunswick-y12,Recruitment,Open Day – Brunswick,Attend Open Day,Event,12,Aug,9,openday-y12,,,,,,,,10am – 3pm,,,,,,,,
,Recruitment,Open Day – Bundoora Campus,Attend Open Day,Event,11,Aug,2,openday-y11,,,,,,,,10am – 4pm,,,,,,,,
,Recruitment,Open Day – City,Attend Open Day,Event,11,Aug,9,openday-y11,,,,,,,,10am – 4pm,,,,,,,,
,Recruitment,Open Day – Brunswick,Attend Open Day,Event,11,Aug,9,openday-y11,,,,,,,,10am – 3pm,,,,,,,,
,Recruitment,Open Day – Bundoora Campus,Attend Open Day,Event,10,Aug,2,openday-y10,,,,,,,,10am – 4pm,,,,,,,,
,Recruitment,Open Day – City,Attend Open Day,Event,10,Aug,9,openday-y10,,,,,,,,10am – 4pm,,,,,,,,
,Recruitment,Open Day – Brunswick,Attend Open Day,Event,10,Aug,9,openday-y10,,,,,,,,10am – 3pm,,,,,,,,
,Recruitment,RMIT Student For A Day,Attend Student For A Day,Event,11,Sep,30,,,,,,,,,,,,,,,,,
,Recruitment,Change of Preference event,Attend Change of Preference event,Event,12,Dec,11,cop,,,,,,,,,,,,,,,,
,Recruitment,Alumni Talk & Tours,Attend Alumni Talk & Tours,Event,11,Mar,15,,,,,,,,,,,,,,,,,
,Recruitment,Secondary School Events (off campus),Attend Secondary School Event,Event,11,Apr,24,,,,,,,,,,,,,,,,,
,Recruitment,School Holiday Campus Tours,Attend School Holiday Campus Tours,Event,11,Apr,10,,,,,,,,,,,,,,,,,
,Recruitment,VCE and Careers Expo (MCEC),Attend VCE and Careers Expo,Event,12,May,6,,,,,,,,,,,,,,,,,
,Recruitment,Victorian Careers Show (Melbourne Showgrounds),Attend Victorian Careers Show,Event,11,May,13,,,,,,,,,,,,,,,,,
,Recruitment,RMIT Study Expo,Attend Study Expo,Event,11,May,28,,,,,,,,,,,,,,,,,
,Recruitment,RMIT Study Expo (School Leaver) – October,Attend Study Expo,Event,11,Oct,15,,,,,,,,,,,,,,,,,
,recruitment,Tech and Trades – registration confirmation,View event details,email,10,Jul,1,,Tech and Trades,,,,,,cvent,,,,,,,,,
,recruitment,Open Day – Bundoora Campus registration confirmation,View event details,email,12,Jul,26,Open Day · Yr 12,openday-bundoora-y12,,,,,,cvent,,,,,,,,,
,recruitment,Open Day – City registration confirmation,View event details,email,12,Aug,2,Open Day · Yr 12,openday-city-y12,,,,,,cvent,,,,,,,,,
,recruitment,Open Day – Brunswick registration confirmation,View event details,email,12,Aug,2,Open Day · Yr 12,openday-brunswick-y12,,,,,,cvent,,,,,,,,,
,recruitment,RMIT Student For A Day registration confirmation,View event details,email,11,Sep,23,,RMIT Student For A Day,,,,,,cvent,,,,,,,,,
,recruitment,Change of Preference event registration confirmation,View event details,email,12,Dec,4,Change of Preference,Change of Preference event,,,,,,cvent,,,,,,,,,
,recruitment,Alumni Talk & Tours registration confirmation,View event details,email,11,Mar,8,,Alumni Talk & Tours,,,,,,cvent,,,,,,,,,
,recruitment,Secondary School Events (off campus) registration confirmation,View event details,email,11,Apr,17,,Secondary School Events (off campus),,,,,,cvent,,,,,,,,,
,recruitment,School Holiday Campus Tours registration confirmation,View event details,email,11,Apr,3,,School Holiday Campus Tours,,,,,,cvent,,,,,,,,,
,recruitment,VCE and Careers Expo (MCEC) registration confirmation,View event details,email,12,Apr,29,,VCE and Careers Expo (MCEC),,,,,,cvent,,,,,,,,,
,recruitment,Victorian Careers Show (Melbourne Showgrounds) registration confirmation,View event details,email,11,May,6,,Victorian Careers Show (Melbourne Showgrounds),,,,,,cvent,,,,,,,,,
,recruitment,RMIT Study Expo registration confirmation,View event details,email,11,May,21,,RMIT Study Expo,,,,,,cvent,,,,,,,,,
,recruitment,RMIT Study Expo (School Leaver) – October registration confirmation,View event details,email,11,Oct,8,,RMIT Study Expo (School Leaver) – October,,,,,,cvent,,,,,,,,,
,Admissions,"Congratulations {{First Name}}, you're in!",Go to your Enrolment Guide,email,12,Dec,23,offers,vtac-post-offer-sms,Defer your offer,Contact Student Connect,,,,marketo,,VTAC applicants (DOM SL),student,,"Offer Round 1 offer letter. Admissions sends Conversion the VTAC offers file, which sets off the post-offer sequence.",,,,
,Conversion,VTAC Post-Offer SMS,Check email,sms,12,Dec,23,,,Check spam / junk,,,,,clicksend,After 2pm,VTAC offer holders (DOM SL),student,,Same day as the offer letters. Sent off the VTAC offers file provided by Admissions.,,,,
,Conversion,"Congratulations {{First Name}}, for receiving an RMIT offer",Start my enrolment,email,Post,Jan,6,,,Complete enrolment checklist (multiple links),,,,,marketo,,VTAC offer holders (HE),student,,EDM1 — Enrolment Reminder (HE). Two weeks after the post-offer SMS.,,,,
,Conversion,SMS2 — Do you need enrolment support?,Check email,sms,Post,Jan,20,,,Click link to student connect,,,,,clicksend,,VTAC offer holders (HE),student,,Two weeks after the enrolment reminder.,,,,
,Conversion,"{{First Name}}, last chance to complete your enrolment",Enrol now — link to enrolment guide,email,Post,Feb,24,,,Click link to student connect,,,,,marketo,,VTAC offer holders (HE),student,,Last Day to Enrol EDM. Five days before Semester 1 classes start (1 March 2027).,,,,
